country,scenario,renewable_increase_pp,current_renewable_percent,new_renewable_percent,current_emissions_per_capita,baseline_prediction,scenario_prediction,emission_change,emission_change_percent,reduction_probability,success_score,expected_reduction,expected_reduction_percent,investment_efficiency
Ecuador,Conservative,5,18.9,23.9,2.217809045911789,2.03034152676177,1.9183893660225129,-0.11195216073925729,-5.513957098528734,0.3025,0.75,-0.03386552862362533,-1.6679720223049417,0.006773105724725066
Ecuador,Moderate,15,18.9,33.9,2.217809045911789,2.03034152676177,1.7305854439744304,-0.2997560827873398,-14.763825634075781,0.3025,0.75,-0.09067621504317028,-4.466057254307923,0.006045081002878019
Ecuador,Aggressive,30,18.9,48.9,2.217809045911789,2.03034152676177,1.710152009653216,-0.32018951710855426,-15.77022943618902,0.3025,0.75,-0.09685732892533766,-4.770494404447179,0.0032285776308445886
"Egypt, Arab Rep.",Conservative,5,6.1,11.1,2.1866793348324984,3.3861385559502684,3.2719057830869667,-0.11423277286330169,-3.3735410106762154,0.3025,0.75,-0.03455541379114876,-1.020496155729555,0.006911082758229751
"Egypt, Arab Rep.",Moderate,15,6.1,21.1,2.1866793348324984,3.3861385559502684,3.126130181288856,-0.2600083746614126,-7.6786100262942485,0.3025,0.75,-0.0786525333350773,-2.32277953295401,0.005243502222338487
"Egypt, Arab Rep.",Aggressive,30,6.1,36.1,2.1866793348324984,3.3861385559502684,2.658569646569779,-0.7275689093804893,-21.48668453338904,0.3025,0.75,-0.220089595087598,-6.499722071350185,0.007336319836253267
El Salvador,Conservative,5,21.9,26.9,1.0843398241395064,1.4190951622909198,1.374247154496079,-0.04484800779484077,-3.1603241971764797,0.21500000000000002,0.4,-0.009642321675890768,-0.6794697023929432,0.0019284643351781534
El Salvador,Moderate,15,21.9,36.9,1.0843398241395064,1.4190951622909198,1.3212037507167462,-0.09789141157417358,-6.898156950668645,0.21500000000000002,0.4,-0.021046653488447323,-1.483103744393759,0.0014031102325631549
El Salvador,Aggressive,30,21.9,51.9,1.0843398241395064,1.4190951622909198,1.3398494733352084,-0.07924568895571138,-5.5842406528805935,0.21500000000000002,0.4,-0.017037823125477948,-1.2006117403693277,0.0005679274375159316
Equatorial Guinea,Conservative,5,4.2,9.2,3.6982720142829817,3.0784651792333744,3.0281229400699505,-0.05034223916342384,-1.6353031862442728,0.2525,0.55,-0.01271141538876452,-0.412914054526679,0.002542283077752904
