country,date,transport_emissions_Mt,total_emissions_Mt,vehicles_per_1000,ownership_fraction,ev_share_vkt,grid_ef_g_per_kwh,ev_g_per_km,reduction_factor,ev_reduction_Mt,pct_of_total_reduced,GDP_per_capita_current_USD,Urban_population_percent,Fossil_fuel_energy_consumption_percent,Renewable_energy_consumption_percent
Sub-Saharan Africa,2022,4.04,11.58,50.0,0.05,1.0,361.23505534128975,65.02230996143216,0.6387649446587103,2.5806103764211894,22.285063699664846,1696.43999286939,42.4493969365685,44.1646740455053,70.2701133853785
Sub-Saharan Africa (IDA & IBRD countries),2022,4.04,11.58,50.0,0.05,1.0,361.23505534128975,65.02230996143216,0.6387649446587103,2.5806103764211894,22.285063699664846,1696.43999286939,42.4493969365686,44.1646740455053,70.2701133853785
IDA total,2022,4.04,11.58,50.0,0.05,1.0,378.61365355923226,68.1504576406618,0.6213863464407677,2.5104008396207016,21.678763727294488,1551.17381360191,38.9024403010933,46.4818204745643,63.7525629244284
Africa Western and Central,2022,4.04,11.58,50.0,0.05,1.0,383.38309112218127,69.00895640199262,0.6166169088778187,2.4911323118663877,21.51236884167865,1796.66863273368,49.1298079868363,47.1177454829575,75.846980103796
Sub-Saharan Africa (excluding high income),2022,4.04,11.58,50.0,0.05,1.0,386.38971572349146,69.55014883022847,0.6136102842765085,2.4789855484770946,21.40747451189201,1772.65535427221,44.6956889472847,47.5186287631322,68.169313816785
Oman,2022,12.24,73.37,400.0,0.4,1.0,797.525,143.5545,0.20247500000000004,2.4782940000000004,3.3778029167234567,23223.5829405935,87.75,99.67,0.1
Jordan,2022,9.01,24.7,150.0,0.15,1.0,733.025,131.9445,0.26697499999999996,2.4054447499999996,9.738642712550606,4332.25159897931,91.827,91.07,11.5
Turkmenistan,2022,11.77,71.73,150.0,0.15,1.0,800.0,144.0,0.2,2.354,3.281751010734699,8156.35211950774,53.494,100.0,0.1
Cameroon,2022,2.87,8.62,50.0,0.05,1.0,201.675,36.3015,0.798325,2.29119275,26.579962296983762,1604.87726954895,58.733,22.89,79.2
Tunisia,2022,7.63,29.98,150.0,0.15,1.0,701.15,126.207,0.29885000000000006,2.2802255000000002,7.605822214809874,3708.8481241036,70.214,86.82,11.6
Lebanon,2022,8.11,27.71,150.0,0.15,1.0,718.85,129.393,0.28115,2.2801264999999997,8.22853302057019,3654.35845534878,89.262,89.18,6.8
Fragile and conflict affected situations,2022,4.04,11.58,50.0,0.05,1.0,439.5196340094652,79.11353412170374,0.5604803659905347,2.2643406786017604,19.553891870481525,1903.89887310976,44.401646495307,54.6026178679287,61.665418044345
Uruguay,2022,3.63,6.52,400.0,0.4,1.0,386.825,69.62849999999999,0.613175,2.22582525,34.13842407975461,20818.6146091144,95.688,44.91,57.8
Honduras,2022,4.1,9.77,150.0,0.15,1.0,460.4,82.872,0.5396,2.21236,22.644421699078812,3003.28996826399,59.6,54.72,45.9
IDA blend,2022,4.04,11.58,50.0,0.05,1.0,479.3044962073815,86.27480931732866,0.5206955037926185,2.103609835322179,18.165888042505866,1962.52152270807,44.5056762549498,59.9072661609842,60.0736911684857
Luxembourg,2022,6.07,9.32,600.0,0.6,0.8333333333333334,585.0500000000001,105.30900000000001,0.41494999999999993,2.0989554166666666,22.520980865522173,55666.86673271664,91.881,71.34,20.5
Serbia,2022,6.35,45.54,400.0,0.4,1.0,672.65,121.077,0.32735000000000003,2.0786725,4.564498243302592,10022.9688543402,56.873,83.02,27.2
Dominican Republic,2022,7.17,25.12,400.0,0.4,1.0,720.2,129.636,0.27980000000000005,2.0061660000000003,7.9863296178343965,10104.2449349081,83.848,89.36,14.8
Other small states,2022,4.04,11.58,400.0,0.4,1.0,508.736641119176,91.57259540145168,0.491263358880824,1.984703969878529,17.139067097396623,14298.1028214028,55.5597027670278,61.1648854825568,45.4042214532872
Qatar,2022,11.73,90.17,600.0,0.6,0.8333333333333334,799.0250000000001,143.8245,0.200975,1.9645306249999999,2.1786964899634023,55666.86673271664,99.318,99.87,0.0
"Congo, Dem. Rep.",2022,2.07,2.2,50.0,0.05,1.0,59.775000000000006,10.759500000000001,0.940225,1.9462657499999998,88.466625,642.612267148918,46.837,3.97,96.3
Latvia,2022,3.24,7.63,400.0,0.4,1.0,418.4,75.312,0.5816,1.884384,24.697038007863696,20227.2307431581,68.54,49.12,44.0
El Salvador,2022,3.48,6.81,150.0,0.15,1.0,465.95,83.871,0.53405,1.858494,27.29066079295154,5074.60210221806,74.767,55.46,21.9
Zimbabwe,2022,2.87,12.27,50.0,0.05,1.0,369.6,66.528,0.6304,1.809248,14.745297473512634,2040.54658705395,32.395,45.28,82.4
Panama,2022,4.81,10.14,400.0,0.4,1.0,623.9,112.30199999999999,0.37610000000000005,1.8090410000000001,17.840641025641027,17332.4360742988,69.141,76.52,28.0
Latin America & Caribbean (excluding high income),2022,4.04,11.58,150.0,0.15,1.0,562.8809921907605,101.31857859433688,0.4371190078092395,1.7659607915493276,15.25009319127226,9093.65274220086,81.1442610510058,68.3841322921014,34.931181287891
Latin America & the Caribbean (IDA & IBRD countries),2022,4.04,11.58,150.0,0.15,1.0,571.1736611249097,102.81125900248374,0.42882633887509036,1.7324584090553652,14.960780734502292,9482.77639942335,81.5750058081646,69.4898214833213,34.4989632470857
Burkina Faso,2022,2.19,4.27,50.0,0.05,1.0,210.22500000000002,37.840500000000006,0.7897749999999999,1.7296072499999997,40.50602459016393,836.118304593682,31.877,24.03,71.4
Latin America & Caribbean,2022,4.04,11.58,150.0,0.15,1.0,572.8924867952593,103.12064762314667,0.4271075132047407,1.7255143533471524,14.900814795743974,9716.03266743824,81.5649153564557,69.7189982393679,34.1964972995889
American Samoa,2022,4.04,11.58,400.0,0.4,1.0,573.7587433976297,103.27657381157334,0.42624125660237033,1.7220146766735762,14.870593062811539,18017.4589383973,87.196,69.83449911968395,0.4
Northern Mariana Islands,2022,4.04,11.58,400.0,0.4,1.0,573.7587433976297,103.27657381157334,0.42624125660237033,1.7220146766735762,14.870593062811539,23785.754590043,91.983,69.83449911968395,0.5
French Polynesia,2022,4.04,11.58,400.0,0.4,1.0,573.7587433976297,103.27657381157334,0.42624125660237033,1.7220146766735762,14.870593062811539,20738.6499971661,62.17,69.83449911968395,7.0
West Bank and Gaza,2022,4.04,11.58,150.0,0.15,1.0,573.7587433976297,103.27657381157334,0.42624125660237033,1.7220146766735762,14.870593062811539,3799.95527015163,77.291,69.83449911968395,15.4
British Virgin Islands,2022,4.04,11.58,150.0,0.15,1.0,573.7587433976297,103.27657381157334,0.42624125660237033,1.7220146766735762,14.870593062811539,7606.2375253797,49.331,69.83449911968395,1.3
Czechia,2022,4.04,11.58,400.0,0.4,1.0,576.875,103.83749999999999,0.42312500000000003,1.7094250000000002,14.761873920552679,28282.2236715857,74.377,70.25,17.2
Zambia,2022,2.03,7.74,50.0,0.05,1.0,167.625,30.1725,0.832375,1.6897212499999998,21.831023901808784,1447.12310138035,45.761,18.35,83.0
Lower middle income,2022,4.04,11.58,50.0,0.05,1.0,583.8215113372745,105.0878720407094,0.41617848866272555,1.6813610941974113,14.519525856627041,2424.15054696003,40.4516375248882,71.1762015116366,41.6375575764497
Afghanistan,2022,3.73,7.44,50.0,0.05,1.0,573.7587433976297,103.27657381157334,0.42624125660237033,1.5898798871268414,21.36935332159733,357.261152798144,26.616,69.83449911968395,20.0
South Asia,2022,4.04,11.58,50.0,0.05,1.0,608.2189428999537,109.47940972199167,0.3917810571000463,1.5827954706841871,13.668354669120786,2385.08341578414,35.7853207636492,74.4291923866605,36.8864659122341
South Asia (IDA & IBRD),2022,4.04,11.58,50.0,0.05,1.0,608.2189428999537,109.47940972199167,0.3917810571000463,1.5827954706841871,13.668354669120786,2385.08341578414,35.7853207636492,74.4291923866605,36.8864659122341
Central Europe and the Baltics,2022,4.04,11.58,400.0,0.4,1.0,608.6687368858835,109.56037263945903,0.3913312631141165,1.5809783029810305,13.652662374620297,19548.6930479638,62.835931596872,74.4891649181178,19.6977838168354
Azerbaijan,2022,7.9,32.02,150.0,0.15,1.0,800.0,144.0,0.2,1.58,4.934415990006246,7770.594223351,57.17,100.0,1.3
Small states,2022,4.04,11.58,400.0,0.4,1.0,630.3843441043648,113.46918193878567,0.36961565589563516,1.493247249818366,12.895053970797635,13598.1107991474,51.8158557665979,77.3845792139153,34.2609139465875
Europe & Central Asia,2022,4.04,11.58,400.0,0.4,1.0,631.5574291006933,113.68033723812479,0.3684425708993067,1.4885079864331991,12.854127689405864,27782.8616206223,73.0396201290606,77.5409905467591,15.106449203531
